county,state,pop_county,area,num_county,pop_state
Cumberland,Illinois,10450,345,102,12812508
DeKalb,Illinois,100420,631,102,12812508
DeWitt,Illinois,15516,397,102,12812508
Douglas,Illinois,19740,416,102,12812508
DuPage,Illinois,932877,327,102,12812508
Edgar,Illinois,16866,623,102,12812508
Edwards,Illinois,6245,222,102,12812508
Effingham,Illinois,34668,478,102,12812508
Fayette,Illinois,21488,716,102,12812508
Ford,Illinois,13534,485,102,12812508
Franklin,Illinois,37804,408,102,12812508
Fulton,Illinois,33609,865,102,12812508
Gallatin,Illinois,4946,322,102,12812508
Greene,Illinois,11985,543,102,12812508
Grundy,Illinois,52533,418,102,12812508
Hamilton,Illinois,7993,434,102,12812508
Hancock,Illinois,17620,793,102,12812508
Hardin,Illinois,3649,177,102,12812508
Henderson,Illinois,6387,378,102,12812508
Henry,Illinois,49284,822,102,12812508
Iroquois,Illinois,27077,1117,102,12812508
Jackson,Illinois,52974,584,102,12812508
Jasper,Illinois,9287,494,102,12812508
Jefferson,Illinois,37113,571,102,12812508
Jersey,Illinois,21512,369,102,12812508
Jo Daviess,Illinois,22035,600,102,12812508
Johnson,Illinois,13308,343,102,12812508
Kane,Illinois,516522,519,102,12812508
Kankakee,Illinois,107502,676,102,12812508
Kendall,Illinois,131869,320,102,12812508
Knox,Illinois,49967,716,102,12812508
Lake,Illinois,714342,443,102,12812508
LaSalle,Illinois,109658,1135,102,12812508
Lawrence,Illinois,15280,372,102,12812508
Lee,Illinois,34145,724,102,12812508
Livingston,Illinois,35815,1043,102,12812508
Logan,Illinois,27987,618,102,12812508
Macon,Illinois,103998,572,102,12812508
Macoupin,Illinois,44967,386,102,12812508
Madison,Illinois,265859,539,102,12812508
Marion,Illinois,37729,237,102,12812508
Marshall,Illinois,11742,589,102,12812508
Mason,Illinois,13086,603,102,12812508
Massac,Illinois,14169,242,102,12812508
McDonough,Illinois,27238,580,102,12812508
McHenry,Illinois,310229,862,102,12812508
McLean,Illinois,170954,1186,102,12812508
Menard,Illinois,12297,314,102,12812508
Mercer,Illinois,15699,561,102,12812508
Monroe,Illinois,34962,385,102,12812508
Montgomery,Illinois,28288,703,102,12812508
Morgan,Illinois,32915,568,102,12812508
Moultrie,Illinois,14526,335,102,12812508
Ogle,Illinois,51788,758,102,12812508
Peoria,Illinois,181830,618,102,12812508
Perry,Illinois,20945,441,102,12812508
Piatt,Illinois,16673,439,102,12812508
Pike,Illinois,14739,831,102,12812508
Pope,Illinois,3763,368,102,12812508
Pulaski,Illinois,5193,199,102,12812508
Putnam,Illinois,5637,160,102,12812508
Randolph,Illinois,30163,575,102,12812508
Richland,Illinois,15813,360,102,12812508
Rock Island,Illinois,144672,427,102,12812508
St. Clair,Illinois,257400,379,102,12812508
Saline,Illinois,23768,868,102,12812508
Sangamon,Illinois,196343,437,102,12812508
Schuyler,Illinois,6902,250,102,12812508
Scott,Illinois,4949,758,102,12812508
Shelby,Illinois,20990,657,102,12812508
